GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDD,com.myapp.tdd.junit5,Passenger,11,12,0,0,5,5,3,2,3,2
TDD,com.myapp.tdd.junit5,Flight,47,54,2,8,11,14,8,7,6,3
